#,Name,Origin,Format,Comments
804,RPL_OTHERSNOMASKIS,InspIRCd 3.0,<client> <nick> <server notice mask> :Server notice mask,Similar to RPL_SNOMASK but used when an oper views the snomasks of another user.
900,RPL_LOGGEDIN,"Charybdis/Atheme, IRCv3",<client> <nick>!<ident>@<host> <account> :You are now logged in as <user>,Sent when the user's account name is set (whether by SASL or otherwise)
901,RPL_LOGGEDOUT,"Charybdis/Atheme, IRCv3",<client> <nick>!<ident>@<host> :You are now logged out,Sent when the user's account name is unset (whether by SASL or otherwise)
902,ERR_NICKLOCKED,"Charybdis/Atheme, IRCv3",<client> :You must use a nick assigned to you.,"Sent when the SASL authentication fails because the account is currently locked out, held, or otherwise administratively made unavailable."
903,RPL_SASLSUCCESS,"Charybdis/Atheme, IRCv3",<client> :SASL authentication successful,Sent when the SASL authentication finishes successfullyAlso seeRPL_LOGGEDIN (900).
904,ERR_SASLFAIL,"Charybdis/Atheme, IRCv3",<client> :SASL authentication failed,Sent when the SASL authentication fails because of invalid credentials or other errors not explicitly mentioned by other numerics
905,ERR_SASLTOOLONG,"Charybdis/Atheme, IRCv3",<client> :SASL message too long,"Sent when credentials are valid, but the SASL authentication fails because the client-sent AUTHENTICATE command was too long (i.e. the parameter longer than 400 bytes)"
906,ERR_SASLABORTED,"Charybdis/Atheme, IRCv3",<client> :SASL authentication aborted,Sent when the SASL authentication is aborted because the client sent an AUTHENTICATE command with * as the parameter
907,ERR_SASLALREADY,"Charybdis/Atheme, IRCv3",<client> :You have already authenticated using SASL,Sent when the client attempts to initiate SASL authentication after it has already finished successfully for that connection.
908,RPL_SASLMECHS,"Charybdis/Atheme, IRCv3",<client> <mechanisms> :are available SASL mechanisms,"Sent when the client requests a list of SASL mechanisms supported by the server (or network, services). The numeric contains a comma-separated list of mechanisms"
910,RPL_ACCESSLIST,InspIRCd,<client> <channel> <status>:<mask> <who> <set-ts>,Used by InspIRCd's m_autoop module.
911,RPL_ENDOFACCESSLIST,InspIRCd,<client> <channel> :End of channel access list,Used by InspIRCd's m_autoop module.
926,ERR_BADCHANNEL,InspIRCd,<client> <channel> :Channel <channel> is forbidden: <reason>,Used by InspIRCd's m_denychans module.
936,ERR_WORDFILTERED,InspIRCd,"<client> <channel> <message> :Your message contained a censored word, and was blocked",Replaced with ERR_CANNOTSENDTOCHAN in InspIRCd 3.0.
937,ERR_ALREADYCHANFILTERED,InspIRCd 2.0,<client> <chan> :The word <word> is already on the spamfilter list,Used by InspIRCd's m_chanfilter module. Replaced with ERR_LISTMODEALREADYSET in 3.0.
938,ERR_NOSUCHCHANFILTER,InspIRCd 2.0,<client> <chan> :No such spamfilter word is set,Used by InspIRCd's m_chanfilter module. Replaced with ERR_LISTMODENOTSET in 3.0.
939,ERR_CHANFILTERFULL,InspIRCd 2.0,<client> <chan> :Channel spamfilter list is full,Used by InspIRCd's m_chanfilter module. Replaced with ERR_BANLISTFULL in 3.0.
940,RPL_ENDOFSPAMFILTER,InspIRCd,<client> <channel> :End of channel spamfilter list,Used by InspIRCd's m_chanfilter module.
941,RPL_SPAMFILTER,InspIRCd,<client> <channel> <filter> <who> <set-ts>,Used by InspIRCd's m_chanfilter module.
942,ERR_INVALIDWATCHNICK,InspIRCd,<client> <nick> :Invalid nickname,Used by InspIRCd's m_watch module.
944,RPL_IDLETIMESET,InspIRCd,<client> :Idle time set.,Used by InspIRCd's m_setidle module.
945,RPL_NICKLOCKOFF,InspIRCd,<client> <nick> :Nickname now unlocked.,Used by InspIRCd's m_nicklock module.
946,ERR_NICKNOTLOCKED,InspIRCd,<client> <nick> :This user's nickname is not locked.,Used by InspIRCd's m_nicklock module.
947,RPL_NICKLOCKON,InspIRCd,<client> <nick> :Nickname now locked.,Used by InspIRCd's m_nicklock module.
948,ERR_INVALIDIDLETIME,InspIRCd,<client> :Invalid idle time.,Used by InspIRCd's m_setidle module.
950,RPL_UNSILENCED,InspIRCd,<client> <nick> :Removed <mask> <pattern> from silence list,Used by InspIRCd's m_silence module.
951,RPL_SILENCED,InspIRCd,<client> <nick> :Added <mask> <pattern> to silence list,Used by InspIRCd's m_silence module.
952,ERR_SILENCE,InspIRCd,<client> <mask> [<flags>] :<reason>,Used by InspIRCd's m_silence module. The flags field was added in v3.
953,RPL_ENDOFEXEMPTIONLIST,InspIRCd,<client> <channel> :End of channel exemptchanops list,Used by InspIRCd's m_exemptchanop module.
954,RPL_EXEMPTIONLIST,InspIRCd,<client> <channel> <exception> <who> :<set-ts>,Used by InspIRCd's m_exemptchanop module.
960,RPL_ENDOFPROPLIST,InspIRCd,<client> <channel> :End of mode list,Used by InspIRCd's m_namedmodes module.
961,RPL_PROPLIST,InspIRCd,<client> <channel> [+<mode>]...,Used by InspIRCd's m_namedmodes module.
972,ERR_CANNOTDOCOMMAND,Unreal,<client> <command> :<info>,"Indicates that a command could not be performed for an arbitrary reason. For example, a halfop trying to kick an op."
972,ERR_CANTUNLOADMODULE,InspIRCd,<client> <modulename> :Failed to unload module: <error>,
973,RPL_UNLOADEDMODULE,InspIRCd,<client> <modulename> :Module successfully unloaded.,
974,ERR_CANNOTCHANGECHANMODE,Unreal,<client> <mode> :<info>,"Indicates that a channel mode could not be changed for an arbitrary reason. For instance, trying to set OPER_ONLY when you are not an IRC operator."
974,ERR_CANTLOADMODULE,InspIRCd,<client> <modulename> :Failed to load module: <error>,
975,RPL_LOADEDMODULE,InspIRCd,<client> <modulename> :Module successfully loaded.,
975,ERR_LASTERROR,Nefarious,,
988,RPL_SERVLOCKON,InspIRCd,<client> <server> :Closed for new connections,Used by InspIRCd's m_lockserv module.
989,RPL_SERVLOCKOFF,InspIRCd,<client> <server> :Open for new connections,Used by InspIRCd's m_lockserv module.
990,RPL_DCCALLOWSTART,InspIRCd,<client> :Users on your DCCALLOW list:,Used by InspIRCd's m_dccallow module
991,RPL_DCCALLOWLIST,InspIRCd,<client> <nick> :<nick> (<hostmask>),Used by InspIRCd's m_dccallow module
992,RPL_DCCALLOWEND,InspIRCd,<client> :End of DCCALLOW list,Used by InspIRCd's m_dccallow module
993,RPL_DCCALLOWTIMED,InspIRCd,<client> <nick> :Added <nick> to DCCALLOW list for <count> seconds,Used by InspIRCd's m_dccallow module
994,RPL_DCCALLOWPERMANENT,InspIRCd,<client> <nick> :Added <nick> to DCCALLOW list for this session,Used by InspIRCd's m_dccallow module
995,RPL_DCCALLOWREMOVED,InspIRCd,<client> <nick> :Removed <nick> from your DCCALLOW list,Used by InspIRCd's m_dccallow module.
996,ERR_DCCALLOWINVALID,InspIRCd,<client> <nick> :<reason>,Used by InspIRCd's m_dccallow module.
997,RPL_DCCALLOWEXPIRED,InspIRCd,<client> <nick> :DCCALLOW entry for <nick> has expired,Used by InspIRCd's m_dccallow module.
998,ERR_UNKNOWNDCCALLOWCMD,InspIRCd,<client> :DCCALLOW command not understood,Used by InspIRCd's m_dccallow module.
998,RPL_DCCALLOWHELP,InspIRCd,<client> :<help>,Used by InspIRCd's m_dccallow module.
999,RPL_ENDOFDCCALLOWHELP,InspIRCd 2.0,<client> :End of DCCALLOW HELP,Used by InspIRCd's m_dccallow module.
999,ERR_NUMERIC_ERR,Bahamut,,Also known as ERR_NUMERICERR (Unreal) or ERR_LAST_ERR_MSG
